Sentence,Technique,Risk Score,Risk Level,Explanation,Neutral Rewrite
"Muslim Cleric: “There Were Jews In Islamic Countries & Caliphates, But We Never Killed Them Just For Being Jews”

When he says that Muslims never killed Jews just for being Jews, he is lying, and relying on the historical ignorance of his audience.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Muslim Cleric: “There Were Jews In Islamic Countries & Caliphates, But We Never Killed Them Just For Being Jews” When he says that Muslims never killed Jews just for being Jews, he is lying, and relying on the historical ignorance of his audience."
"take our poll - story continues below
Whom do you consider to be the most corrupt Democrat Politician?",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,take our poll - story continues below Whom do you consider to be the most corrupt Democrat Politician?
Whom do you consider to be the most corrupt Democrat Politician?,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Whom do you consider to be the most corrupt Democrat Politician?
Whom do you consider to be the most corrupt Democrat Politician?,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Whom do you consider to be the most corrupt Democrat Politician?
"There were Jews in the Islamic countries and caliphates as well, but we never killed them just for being Jews.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"There were Jews in the Islamic countries and caliphates as well, but we never killed them just for being Jews."
"No, it never happened.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"No, it never happened."
But after watching a week of post Singapore summit between Great White Father Trump and delinquent Kim Jong-un I must totally agree with the Economist.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,But after watching a week of post Singapore summit between Great White Father Trump and delinquent Kim Jong-un I must totally agree with the Economist.
"American Raj: Liberati... Eric Margolis Best Price: $5.99 Buy New $45.86 (as of 09:30 EDT - Details) Trump’s objectives, at least initially, were to crush North Korea and the threats it could pose to the United States and its regional allies Japan and South Korea.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"American Raj: Liberati... Eric Margolis Best Price: $5.99 Buy New $45.86 (as of 09:30 EDT - Details) Trump’s objectives, at least initially, were to crush North Korea and the threats it could pose to the United States and its regional allies Japan and South Korea."
"Trump knew perfectly well that he could not destroy all of North Korea’s deeply buried nuclear-armed missiles, and, in spite of his huffing and puffing, had no stomach for an invasion of North Korea that could cost the US an estimated 250,000 casualties.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Trump knew perfectly well that he could not destroy all of North Korea’s deeply buried nuclear-armed missiles, and, in spite of his huffing and puffing, had no stomach for an invasion of North Korea that could cost the US an estimated 250,000 casualties."
"As Trump grandly proclaimed, Americans no longer have to fear North Korea and can sleep peacefully at night!",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"As Trump grandly proclaimed, Americans no longer have to fear North Korea and can sleep peacefully at night!"
"For Kim, these weapons are purely defensive, designed to prevent a US attack on his nation.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"For Kim, these weapons are purely defensive, designed to prevent a US attack on his nation."
"They threaten almost all of South Korea’s capital Seoul north of the Han River and some US military bases and key airfields, notably Osan.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"They threaten almost all of South Korea’s capital Seoul north of the Han River and some US military bases and key airfields, notably Osan."
This is a very real threat – one that is largely immune to attack from the air.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,This is a  real threat – one that is largely immune to attack from the air.
"War at the Top of the ... Eric Margolis Best Price: $2.60 Buy New $24.57 (as of 09:00 EDT - Details)
There is no mention of this artillery threat in the final communiqué issued by Trump and Kim in Singapore.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,War at the Top of the ... Eric Margolis Best Price: $2.60 Buy New $24.57 (as of 09:00 EDT - Details) There is no mention of this artillery threat in the final communiqué issued by Trump and Kim in Singapore.
There may be a few gestures of disarmament but Kim must know that his nukes are his means of survival.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,There may be a few gestures of disarmament but Kim must know that his nukes are his means of survival.
"take our poll - story continues below
Whom do you consider to be the most corrupt Democrat Politician?",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,take our poll - story continues below Whom do you consider to be the most corrupt Democrat Politician?
Whom do you consider to be the most corrupt Democrat Politician?,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Whom do you consider to be the most corrupt Democrat Politician?
Whom do you consider to be the most corrupt Democrat Politician?,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Whom do you consider to be the most corrupt Democrat Politician?
"In Newly Obtained Memo, Congress’ Top Cop Said House Democratic Caucus Server VANISHED https://t.co/gTj2UgSZJr via @dailycaller — Luke Rosiak (@lukerosiak) July 2, 2018
A secret memo marked “URGENT” detailed how the House Democratic Caucus’s server went “missing” soon after it became evidence in a cybersecurity probe.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"In Newly Obtained Memo, Congress’ Top Cop Said House Democratic Caucus Server VANISHED https://t.co/gTj2UgSZJr via @dailycaller — Luke Rosiak (@lukerosiak) July 2, 2018 A secret memo marked “URGENT” detailed how the House Democratic Caucus’s server went “missing” soon after it became evidence in a cybersecurity probe."
"The secret memo also said more than “40 House offices may have been victims of IT security violations.”
In the memo, Congress’s top law enforcement official, Sergeant-at-Arms Paul Irving, along with Chief Administrative Officer Phil Kiko, wrote, “We have concluded that the employees [Democratic systems administrator Imran Awan and his family] are an ongoing and serious risk to the House of Representatives, possibly threatening the integrity of our information systems and thereby members’ capacity to serve constituents.”
The memo, addressed to the Committee on House Administration (CHA) and dated Feb. 3, 2017, was recently reviewed and transcribed by The Daily Caller News Foundation.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The secret memo also said more than “40 House offices may have been victims of IT security violations.” In the memo, Congress’s top law enforcement official, Sergeant-at-Arms Paul Irving, along with Chief Administrative Officer Phil Kiko, wrote, “We have concluded that the employees [Democratic systems administrator Imran Awan and his family] are an ongoing and serious risk to the House of Representatives, possibly threatening the integrity of our information systems and thereby members’ capacity to serve constituents.” The memo, addressed to the Committee on House Administration (CHA) and dated Feb. 3, 2017, was recently reviewed and transcribed by The Daily Caller News Foundation."
"Chris Gowen — a former aide to Hillary Clinton who is now serving as Imran’s attorney — told TheDCNF, “There is no missing server and never was.”
He didn’t provide any support for his claim, which is contrary to evidence Kiko and Irving presented to Congress.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Chris Gowen — a former aide to Hillary Clinton who is now serving as Imran’s attorney — told TheDCNF, “There is no missing server and never was.” He didn’t provide any support for his claim, which is contrary to evidence Kiko and Irving presented to Congress."
But Democrats claim they were never told about any of the cybersecurity issues itemized in the urgent memo.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,But Democrats claim they were never told about any of the cybersecurity issues itemized in the urgent memo.
"Rep. Jackie Speier — a California Democrat on the House Permanent Select Committee on Intelligence who employed Imran and his wife, Hina Alvi — said she never heard of any missing server.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Rep. Jackie Speier — a California Democrat on the House Permanent Select Committee on Intelligence who employed Imran and his wife, Hina Alvi — said she never heard of any missing server."
Joaquin Castro of Texas — another Democratic intelligence committee member who employed one of the Awans — told TheDCNF that Kiko never told him of any cybersecurity issues whatsoever and that the Awan probe was instead described as a theft issue.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,Joaquin Castro of Texas — another Democratic intelligence committee member who employed one of the Awans — told TheDCNF that Kiko never told him of any cybersecurity issues whatsoever and that the Awan probe was instead described as a theft issue.
"Bank fraud does not explain why the Awans were kicked off the House network concurrent with the urgent memo, which did not cite bank fraud.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Bank fraud does not explain why the Awans were kicked off the House network concurrent with the urgent memo, which did not cite bank fraud."
"Eighteen months after the evidence was recounted in the urgent memo, prosecution appears to have stalled for reasons not publicly explained.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Eighteen months after the evidence was recounted in the urgent memo, prosecution appears to have stalled for reasons not publicly explained."
"Texas Mom: My Son Was Attacked For Wearing A MAGA Hat At Whataburger

A Texas mother’s teenage son was allegedly attacked at a Whataburger for wearing a MAGA (Make America Great Again) hat.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,Texas Mom: My Son Was Attacked For Wearing A MAGA Hat At Whataburger A Texas mother’s teenage son was allegedly attacked at a Whataburger for wearing a MAGA (Make America Great Again) hat.
"Communist Door Boy Attacks Teen Trump Supporter

Down in San Antonio, Texas the dangerous and violent predilections of the left reared its ugly head once again.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Communist Door Boy Attacks Teen Trump Supporter Down in San Antonio, Texas the serious and violent predilections of the left reared its ugly head once again."
A “man” attacked a teenager who was wearing a #MAGA hat.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,A “man” attacked a teenager who was wearing a #MAGA hat.
"The criminal attacker, one Kino Jimenez, took the boy’s hat, yelled at him, and then threw a drink in the boy’s face before walking off (and stealing
the hat ).",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"The criminal attacker, one Kino Jimenez, took the boy’s hat, yelled at him, and then threw a drink in the boy’s face before walking off (and stealing the hat )."
"https://t.co/9g1BSiw8LS — The Columbia Bugle 🇺🇸 (@ColumbiaBugle) July 5, 2018
The attack took place in a Whataburger restaurant, and the corporation was quick to condemn the man’s actions:
“We were shocked to see this video and certainly don’t condone this type of customer behavior in our restaurants.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"https://t.co/9g1BSiw8LS — The Columbia Bugle 🇺🇸 (@ColumbiaBugle) July 5, 2018 The attack took place in a Whataburger restaurant, and the corporation was quick to condemn the man’s actions: “We were shocked to see this video and certainly don’t condone this type of customer behavior in our restaurants."
"Rumble has, and always will be, a bar that is as inclusive as any establishment could possibly be.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Rumble has, and always will be, a bar that is as inclusive as any establishment could possibly be."
"However, upon learning of his behavior the local Green Party told the media that Jimenez had been cut off from the party for his uncalled for attack on a child.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"However, upon learning of his behavior the local Green Party told the media that Jimenez had been cut off from the party for his uncalled for attack on a child."
"We do not take our aggression out on innocent young people.”
Some on the right have connected the attack to Maxine Waters’ call for Democrats to confront members of the Trump administration whenever, and wherever they happened to find them.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"We do not take our aggression out on innocent young people.” Some on the right have connected the attack to Maxine Waters’ call for Democrats to confront members of the Trump administration whenever, and wherever they happened to find them."
"My question is; how big of a leap would it be for a normal, rational adult to go from confronting administration officials to attacking the people who elected them to power?",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"My question is; how big of a leap would it be for a normal, rational adult to go from confronting administration officials to attacking the people who elected them to power?"
"How true Scripture is when it declares:
“Woe unto them that call evil good, and good evil; that put darkness for light, and light for darkness; that put bitter for sweet, and sweet for bitter!""",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"How true Scripture is when it declares: “Woe unto them that call evil good, and good evil; that put darkness for light, and light for darkness; that put bitter for sweet, and sweet for bitter!"""
She said that she did her research on me and said that the media really attacked me.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,She said that she did her research on me and said that the media really attacked me.
After all you can always tell what a man stands for by the enemies that he has.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,After all you can always tell what a man stands for by the enemies that he has.
"As a matter of fact, these counterfeits will be the first ones to get angry with and denounce and attack the ones that are sent by the Spirit of God (Galatians 4:29).",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"As a matter of fact, these counterfeits will be the first ones to get angry with and denounce and attack the ones that are sent by the Spirit of God (Galatians 4:29)."
"– Catherine Booth
The way to gauge those who are actually taking ground for the kingdom is to see who is in the midst of a continuous warfare (always in trouble, slandered, lied about, defamed etc) fighting the good fight of faith because they trust in the living God (Matthew 11:12; 1 Timothy 6:12).",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"– Catherine Booth The way to gauge those who are actually taking ground for the kingdom is to see who is in the midst of a continuous warfare (always in trouble, slandered, lied about, defamed etc) fighting the good fight of faith because they trust in the living God (Matthew 11:12; 1 Timothy 6:12)."
"John Calvin said, “Whomsoever the Lord has adopted and deemed worthy of His fellowship ought to prepare themselves for a hard, toilsome and unquiet life, crammed with very many and various kinds of evil.” And of course to the counterfeit's this is foreign.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"John Calvin said, “Whomsoever the Lord has adopted and deemed worthy of His fellowship ought to prepare themselves for a hard, toilsome and unquiet life, crammed with  many and various kinds of evil.” And of course to the counterfeit's this is foreign."
"“Doesn’t mean we’re going to do them.”
What President Trump really meant is that he has painted the US into a corner with all his threats of war and really does not know what to do next.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,“Doesn’t mean we’re going to do them.” What President Trump really meant is that he has painted the US into a corner with all his threats of war and really does not know what to do next.
"North Korea can’t today seriously threaten North America with missile strikes, but it probably will by 2019.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"North Korea can’t today seriously threaten North America with missile strikes, but it probably will by 2019."
"Meanwhile, North Korean nuclear and conventionally-armed missiles (and this could include poison gas and biological warheads) today threaten the 80,000 plus US military personnel based in Japan, South Korea and Guam.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Meanwhile, North Korean nuclear and conventionally-armed missiles (and this could include poison gas and biological warheads) today threaten the 80,000 plus US military personnel based in Japan, South Korea and Guam."
They would be immediate targets should the US and South Korea attack the north.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,They would be immediate targets should the US and South Korea attack the north.
"Because North Korea has scraped and skimped for decades to build nuclear weapons for the sole reason of deterring a major US attack, including the use by the US of tactical nuclear weapons.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Because North Korea has scraped and skimped for decades to build nuclear weapons for the sole reason of deterring a major US attack, including the use by the US of tactical nuclear weapons."
Pakistan ‘ate grass’ for decades to afford nuclear weapons to offset the threat from far more powerful India.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Pakistan ‘ate grass’ for decades to afford nuclear weapons to offset the threat from far more powerful India.
"Ever since being soundly beaten in Vietnam and fought to a draw in Afghanistan, the US military has preferred to attack small countries like Panama, Grenada, Somalia, Yemen, Iraq and Syria.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Ever since being soundly beaten in Vietnam and fought to a draw in Afghanistan, the US military has preferred to attack small countries like Panama, Grenada, Somalia, Yemen, Iraq and Syria."
"War at the Top of the ... Eric Margolis Best Price: $2.60 Buy New $24.57 (as of 06:55 EDT - Details)
Growing US hysteria over North Korea, a nation of only 25 million, recalls the propaganda storm launched by Washington to justify its invasion of equally small Iraq.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"War at the Top of the ... Eric Margolis Best Price: $2.60 Buy New $24.57 (as of 06:55 EDT - Details) Growing US hysteria over North Korea, a nation of only 25 million, recalls the propaganda storm launched by Washington to justify its invasion of equally small Iraq."
"The dim-witted US ambassador to the UN, Nikki Haley, has become point-woman for hurling warlike threats at North Korea even though this neocon poster-girl’s foreign affairs experience appears to have been limited to the International House of Pancakes in her native South Carolina.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The dim-witted US ambassador to the UN, Nikki Haley, has become point-woman for hurling warlike threats at North Korea even though this neocon poster-girl’s foreign affairs experience appears to have been limited to the International House of Pancakes in her native South Carolina."
"The US has been trying to overthrow and undermine North Korea’s Stalinist regimes ever since, using military threats, subversion and economic warfare.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The US has been trying to overthrow and undermine North Korea’s Stalinist regimes ever since, using military threats, subversion and economic warfare."
Most South Koreans shrug off the North’s threats and seek to avoid war at all costs.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Most South Koreans shrug off the North’s threats and seek to avoid war at all costs.
"The Never-Trumpers Are Never Coming Back

Shop all books by Pat Buchanan
With never-Trump conservatives bailing on the GOP and crying out for the Party of Pelosi to save us, some painful truths need to be restated.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"The Never-Trumpers Are Never Coming Back Shop all books by Pat Buchanan With never-Trump conservatives bailing on the GOP and crying out for the Party of Pelosi to save us, some painful truths need to be restated."
Thus we got a second Cold War that need never have begun and that our allies seem content to let us fight alone.,Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,Thus we got a second Cold War that need never have begun and that our allies seem content to let us fight alone.
"Second, in a reflexive response to 9/11, we invaded Afghanistan and Iraq, dumped over the regime in Libya, armed rebels to overthrow Bashar Assad in Syria, and backed Saudi intervention in a Yemeni civil war, creating a humanitarian crisis in that poorest of Arab countries that is exceeded in horrors only by the Syrian civil war.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Second, in a reflexive response to 9/11, we invaded Afghanistan and Iraq, dumped over the regime in Libya, armed rebels to overthrow Bashar Assad in Syria, and backed Saudi intervention in a Yemeni civil war, creating a humanitarian issue in that poorest of Arab countries that is exceeded in horrors only by the Syrian civil war."
"“We live in a time,” said U2’s Bono this week, “when institutions as vital to human progress as the United Nations are under attack.”
The institutions Bono referenced — the U.N., EU, NATO — all trace their roots to the 1940s and 1950s, a time that bears little resemblance to the era we have entered, an era marked by a spreading and desperate desire of peoples everywhere to preserve who and what they are.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"“We live in a time,” said U2’s Bono this week, “when institutions as vital to human progress as the United Nations are under attack.” The institutions Bono referenced — the U.N., EU, NATO — all trace their roots to the 1940s and 1950s, a time that bears little resemblance to the era we have entered, an era marked by a spreading and desperate desire of peoples everywhere to preserve who and what they are."
"The public treasure has been consumed, private wealth has been destroyed, the temples have been stripped of gold, silver, jewels, the relics of the saints, and other most precious ornaments.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The public treasure has been consumed, private wealth has been destroyed, the temples have been stripped of gold, silver, jewels, the relics of the saints, and other most precious ornaments."
Why are your bishops silent on a threat that is yours today as well?,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Why are your bishops silent on a threat that is yours today as well?
"But Jesus was never politically correct, he was politically just!”
Archbishop Jeanbart was not the first to say this.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"But Jesus was never politically correct, he was politically just!” Archbishop Jeanbart was not the first to say this."
"Strange ‘Sonic Attacks’ Against Diplomats Reach Epic Proportions

The bizarre “sonic attacks” against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Strange ‘Sonic Attacks’ Against Diplomats Reach Epic Proportions The bizarre “sonic attacks” against diplomats began in Cuba, but have now spread to other countries with over 200 illnesses reported."
"–SHTFPlan
But now, the sonic attacks have progressed beyond Cuba.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"–SHTFPlan But now, the sonic attacks have progressed beyond Cuba."
"The U.S. State Department has remained all but silent on the issue as well, other than to characterize their suspicion as unknown “sonic attacks” targeted U.S. diplomats, according to WND.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"The U.S. State Department has remained all but silent on the issue as well, other than to characterize their suspicion as unknown “sonic attacks” targeted U.S. diplomats, according to WND."
Saucier says that that action was “unfair” and “unequal” compared to the corruption and criminal activity of Hillary Clinton.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,Saucier says that that action was “unfair” and “unequal” compared to the corruption and criminal activity of Hillary Clinton.
"Get The Times of Israel's Daily Edition by email and never miss our top stories Free Sign Up
But a judge requested a second series of tests, which determined that the Malian immigrant was not able to stand trial, 20 Minutes reported Wednesday.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Get The Times of Israel's Daily Edition by email and never miss our top stories Free Sign Up But a judge requested a second series of tests, which determined that the Malian immigrant was not able to stand trial, 20 Minutes reported Wednesday."
"Unsure about the situation and the potential threats to the family, they asked for reinforcements.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Unsure about the situation and the potential threats to the family, they asked for reinforcements."
"Many neighbours, woken by the old woman’s screams or the assaulter’s religious chanting, called the police Some gave details about the exact location of the assault, the attacker’s identity, the fact he vilified his victim as a Jewish person and as “a Satan” while hitting her, or even — as far as the Muslim neighbours were concerned — the Koranic portions he chanted.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Many neighbours, woken by the old woman’s screams or the assaulter’s religious chanting, called the police Some gave details about the exact location of the assault, the attacker’s identity, the fact he vilified his victim as a Jewish person and as “a Satan” while hitting her, or even — as far as the Muslim neighbours were concerned — the Koranic portions he chanted."
The former recognizes that an armed populace is a threat to any tyrant and pushes for gun control out of self-preservation.,Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,The former recognizes that an armed populace is a threat to any tyrant and pushes for gun control out of self-preservation.
"Rob Pincus Best Price: $2.00 Buy New $17.99 (as of 03:35 EDT - Details) He’d launched the site months earlier along with an anarchist video manifesto, declaring that gun control would never be the same in an era when anyone can download and print their own firearm with a few clicks.",Exaggeration,45,MEDIUM,This sentence overstates facts to strengthen its claim.,"Rob Pincus Best Price: $2.00 Buy New $17.99 (as of 03:35 EDT - Details) He’d launched the site months earlier along with an anarchist video manifesto, declaring that gun control would never be the same in an era when anyone can download and print their own firearm with a few clicks."
"In doing so, he has now not only defeated a legal threat to his own highly controversial gunsmithing project.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"In doing so, he has now not only defeated a legal threat to his own highly controversial gunsmithing project."
The initial appearance was so bad that I tweeted: “President Trump must clarify his statements in Helsinki on our intelligence system and Putin.,General Persuasion,35,MEDIUM,This sentence contains persuasive language.,The initial appearance was so bad that I tweeted: “President Trump must clarify his statements in Helsinki on our intelligence system and Putin.
"It is the most serious mistake of his presidency and must be corrected – immediately.”
After flying home from Helsinki and reviewing the tape and transcript of his press conference with Putin, President Trump said he has “full faith and support for America’s great intelligence agencies” and that he accepts “our intelligence community’s conclusion that Russia’s meddling in the 2016 election took place.”
In his remarks to members of Congress Tuesday that were televised by the media, President Trump went on to admit that he realized he needed to clarify his statements in Helsinki.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"It is the most serious mistake of his presidency and must be corrected – immediately.” After flying home from Helsinki and reviewing the tape and transcript of his press conference with Putin, President Trump said he has “full faith and support for America’s great intelligence agencies” and that he accepts “our intelligence community’s conclusion that Russia’s meddling in the 2016 election took place.” In his remarks to members of Congress Tuesday that were televised by the media, President Trump went on to admit that he realized he needed to clarify his statements in Helsinki."
"First, the very people who have been loudest in attacking President Trump about his performance at the Helsinki summit are the people who failed to protect America from Russian meddling in 2016.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"First, the  people who have been loudest in attacking President Trump about his performance at the Helsinki summit are the people who failed to protect America from Russian meddling in 2016."
"With President Trump’s nomination of Judge Brett Kavanaugh to the Supreme Court, it was clear that anyone Trump nominated was going to be attacked.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"With President Trump’s nomination of Judge Brett Kavanaugh to the Supreme Court, it was clear that anyone Trump nominated was going to be attacked."
"Similarly, Obama-era national security officials seem determined to use the harshest possible language to attack President Trump.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"Similarly, Obama-era national security officials seem determined to use the harshest possible language to attack President Trump."
These former officials attack Trump ferociously to hide their own failure and their own guilt.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,These former officials attack Trump ferociously to hide their own failure and their own guilt.
"In this article, the author was calling out a Christian for protesting a corrupt representative in government, even going so far as to suggest this protestant ought to have stayed home to read their Bible rather than to protest corruption in government.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"In this article, the author was calling out a Christian for protesting a corrupt representative in government, even going so far as to suggest this protestant ought to have stayed home to read their Bible rather than to protest corruption in government."
"2 p. 229)
Apparently, this individual who wrote the article knows nothing of the Black Robed Regiment that the tyrant King George feared the most.",Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,"2 p. 229) Apparently, this individual who wrote the article knows nothing of the Black Robed Regiment that the tyrant King George feared the most."
"The Black Robed regiment, were in fact, the preachers that went before the Forefathers in educating the colonies to resistance when it came to the corrupt King on the other side of the pond.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"The Black Robed regiment, were in fact, the preachers that went before the Forefathers in educating the colonies to resistance when it came to the corrupt King on the other side of the pond."
"For rulers are not a terror to good works, but to the evil.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"For rulers are not a terror to good works, but to the evil."
"But if thou do that which is evil, be afraid; for he beareth not the sword in vain: for he is the minister of God, a revenger to execute wrath upon him that doeth evil.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"But if thou do that which is evil, be afraid; for he beareth not the sword in vain: for he is the minister of God, a revenger to execute wrath upon him that doeth evil."
"Wherefore ye must needs be subject, not only for wrath, but also for conscience sake.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Wherefore ye must needs be subject, not only for wrath, but also for conscience sake."
Render therefore to all their dues: tribute to whom tribute is due; custom to whom custom; fear to whom fear; honour to whom honour.,Fear Appeal,55,MEDIUM,This sentence attempts to create fear to influence opinion.,Render therefore to all their dues: tribute to whom tribute is due; custom to whom custom; fear to whom fear; honour to whom honour.
"God ordained the power, and that “rulers are not a terror to good works, but to the evil.""",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"God ordained the power, and that “rulers are not a terror to good works, but to the evil."""
"Jesus said, ""Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil” (Matthew 5:17).",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Jesus said, ""Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil” (Matthew 5:17)."
"It would do you well to now look to the Christ when He said that we are to beware of the leaven of the Pharisee’s (corrupt doctrines of those who claimed to be the children of God), as well as the leaven of Herod (corrupt doctrines of government) (Mark 8:15).",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"It would do you well to now look to the Christ when He said that we are to beware of the leaven of the Pharisee’s (corrupt doctrines of those who claimed to be the children of God), as well as the leaven of Herod (corrupt doctrines of government) (Mark 8:15)."
"Do these that teach such heresy not realize that every apostle, except John, was killed by hostile corrupt civil authorities opposed to their endeavors?",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Do these that teach such heresy not realize that every apostle, except John, was killed by hostile corrupt civil authorities opposed to their endeavors?"
"Christians throughout history were imprisoned, tortured, or killed by corrupt civil authorities of all stripes for refusing to submit to their various, lawless policies and prohibitions.",Loaded Language,45,MEDIUM,This sentence uses emotionally strong wording to influence perception.,"Christians throughout history were imprisoned, tortured, or killed by corrupt civil authorities of all stripes for refusing to submit to their various, lawless policies and prohibitions."
"Take note that civil government is to be, and must be, a “terror to good works.” It has no power or authority to terrorize good works or good, law-abiding people.",General Persuasion,35,MEDIUM,This sentence contains persuasive language.,"Take note that civil government is to be, and must be, a “terror to good works.” It has no power or authority to terrorize good works or good, law-abiding people."
